"","ID","year","month","mean","lon","lat"
"99",2,1995,8,58.9259259259259,-93.098755,34.179278
"100",2,1996,6,49.1034482758621,-93.098755,34.179278
"101",2,1996,7,45.7333333333333,-93.098755,34.179278
"102",2,1996,8,49,-93.098755,34.179278
"103",2,1997,6,45.5,-93.098755,34.179278
"104",2,1997,7,48.3548387096774,-93.098755,34.179278
"105",2,1997,8,51.2,-93.098755,34.179278
"106",2,1998,6,45.5666666666667,-93.098755,34.179278
"107",2,1998,7,60.6666666666667,-93.098755,34.179278
"108",2,1998,8,62.2903225806452,-93.098755,34.179278
"109",2,1999,6,46.5454545454545,-93.098755,34.179278
"110",2,1999,7,47.2333333333333,-93.098755,34.179278
"111",2,1999,8,73.2333333333333,-93.098755,34.179278
"112",2,2000,6,39.0666666666667,-93.098755,34.179278
"113",2,2000,7,51.9354838709677,-93.098755,34.179278
"114",2,2000,8,68.4666666666667,-93.098755,34.179278
"115",2,2001,6,48.1333333333333,-93.098755,34.179278
"116",2,2001,7,50.9354838709677,-93.098755,34.179278
"117",2,2001,8,52.4666666666667,-93.098755,34.179278
"118",2,2002,6,46.8,-93.098755,34.179278
"119",2,2002,7,44.0322580645161,-93.098755,34.179278
"120",2,2002,8,54.3666666666667,-93.098755,34.179278
"121",2,2003,6,-9999,-93.098755,34.179278
"122",2,2003,7,-9999,-93.098755,34.179278
"123",2,2003,8,-9999,-93.098755,34.179278
"124",2,2004,6,38.4090909090909,-93.098755,34.179278
"125",2,2004,7,38.258064516129,-93.098755,34.179278
"126",2,2004,8,42.6,-93.098755,34.179278
"127",2,2005,6,53.6333333333333,-93.098755,34.179278
"128",2,2005,7,51.2903225806452,-93.098755,34.179278
"129",2,2005,8,52.8387096774194,-93.098755,34.179278
"130",2,2006,6,48.5,-93.098755,34.179278
"131",2,2006,7,47.7096774193548,-93.098755,34.179278
"132",2,2006,8,47.7333333333333,-93.098755,34.179278
"133",2,2007,6,40.1,-93.098755,34.179278
"134",2,2007,7,36.2903225806452,-93.098755,34.179278
"135",2,2007,8,46.9,-93.098755,34.179278
"136",2,2008,6,36.0689655172414,-93.098755,34.179278
"137",2,2008,7,40.9032258064516,-93.098755,34.179278
"138",2,2008,8,-9999,-93.098755,34.179278
"139",2,2009,6,40.7,-93.098755,34.179278
"140",2,2009,7,38.0645161290323,-93.098755,34.179278
"141",2,2009,8,37.448275862069,-93.098755,34.179278
"142",2,2010,6,35.7333333333333,-93.098755,34.179278
"143",2,2010,7,32.6129032258064,-93.098755,34.179278
"144",2,2010,8,47.6896551724138,-93.098755,34.179278
"145",2,2011,6,-9999,-93.098755,34.179278
"146",2,2011,7,-9999,-93.098755,34.179278
"147",2,2011,8,51.2631578947368,-93.098755,34.179278
"148",2,2012,6,50.9047619047619,-93.098755,34.179278
"149",2,2012,7,-9999,-93.098755,34.179278
"150",2,2012,8,50.2941176470588,-93.098755,34.179278
"151",2,2013,6,38.96,-93.098755,34.179278
"152",2,2013,7,44.8823529411765,-93.098755,34.179278
"153",2,2013,8,-9999,-93.098755,34.179278
"154",2,2014,6,29.8666666666667,-93.098755,34.179278
"155",2,2014,7,35.1935483870968,-93.098755,34.179278
"156",2,2014,8,36,-93.098755,34.179278
"157",2,2015,6,34.5,-93.098755,34.179278
"158",2,2015,7,33.2105263157895,-93.098755,34.179278
"159",2,2015,8,45.3333333333333,-93.098755,34.179278
"160",2,2016,6,38.8620689655172,-93.098755,34.179278
"161",2,2016,7,33.7241379310345,-93.098755,34.179278
"162",2,2016,8,30.5384615384615,-93.098755,34.179278
"163",3,1990,6,56.4137931034483,-112.183575,36.058642
"164",3,1990,7,54.0322580645161,-112.183575,36.058642
"165",3,1990,8,50.5161290322581,-112.183575,36.058642
"166",3,1991,6,55.9666666666667,-112.183575,36.058642
"167",3,1991,7,49.3333333333333,-112.183575,36.058642
"168",3,1991,8,49.258064516129,-112.183575,36.058642
"169",3,1992,6,59.1333333333333,-112.183575,36.058642
"170",3,1992,7,47.9032258064516,-112.183575,36.058642
"171",3,1992,8,52.4666666666667,-112.183575,36.058642
"172",3,1993,6,57.0333333333333,-112.183575,36.058642
"173",3,1993,7,45.2258064516129,-112.183575,36.058642
"174",3,1993,8,49.5862068965517,-112.183575,36.058642
"175",3,1994,6,53.2413793103448,-112.183575,36.058642
"176",3,1994,7,56.2413793103448,-112.183575,36.058642
"177",3,1994,8,51,-112.183575,36.058642
"178",3,1995,6,57.8666666666667,-112.183575,36.058642
"179",3,1995,7,56.6666666666667,-112.183575,36.058642
"180",3,1995,8,55.7096774193548,-112.183575,36.058642
"181",3,1996,6,59.2758620689655,-112.183575,36.058642
"182",3,1996,7,56.4137931034483,-112.183575,36.058642
"183",3,1996,8,55.4666666666667,-112.183575,36.058642
"184",3,1997,6,58.9,-112.183575,36.058642
"185",3,1997,7,52.2333333333333,-112.183575,36.058642
"186",3,1997,8,49.3333333333333,-112.183575,36.058642
"187",3,1998,6,59.9333333333333,-112.183575,36.058642
"188",3,1998,7,58.2413793103448,-112.183575,36.058642
"189",3,1998,8,56.1935483870968,-112.183575,36.058642
"190",3,1999,6,57.9333333333333,-112.183575,36.058642
"191",3,1999,7,50.7666666666667,-112.183575,36.058642
"192",3,1999,8,52.3448275862069,-112.183575,36.058642
"193",3,2000,6,56.1034482758621,-112.183575,36.058642
"194",3,2000,7,56.9032258064516,-112.183575,36.058642
"195",3,2000,8,60.1034482758621,-112.183575,36.058642
"196",3,2001,6,57.7586206896552,-112.183575,36.058642
"197",3,2001,7,52.4838709677419,-112.183575,36.058642
"198",3,2001,8,53.5172413793103,-112.183575,36.058642
"199",3,2002,6,66.1,-112.183575,36.058642
"200",3,2002,7,59.7096774193548,-112.183575,36.058642
"201",3,2002,8,57.6666666666667,-112.183575,36.058642
"202",3,2003,6,62.3333333333333,-112.183575,36.058642
"203",3,2003,7,62.6129032258064,-112.183575,36.058642
"204",3,2003,8,56.4666666666667,-112.183575,36.058642
"205",3,2004,6,57.7333333333333,-112.183575,36.058642
